Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Gender,Age,Profession,Item_Outlet_Sales
NCR17,Low Fat,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,Male,55,Artist,1274.3412
FDU04,Low Fat,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,Male,58,Artist,487.3656
FDF41,Low Fat,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,Female,38,Artist,1231.73
FDB56,Regular,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,Male,63,Artist,3755.112
NCP18,Low Fat,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,Male,58,Doctor,4363.6532
FDB56,Regular,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,Male,30,Engineer,1314.2892
FDT28,Low Fat,Frozen Foods,151.0708,OUT045,,Tier 2,Supermarket Type1,Male,60,Artist,1805.6496
FDD10,Regular,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,Male,68,Executive,2854.9504
FDW57,Regular,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,Male,52,Artist,3896.2616
DRB48,Regular,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,Male,38,Executive,667.7974
FDP09,Low Fat,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,Female,35,Healthcare,3185.853
FDH14,Regular,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,Male,18,Doctor,2247.7408
FDA47,Regular,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,Male,30,Homemaker,1794.331
FDG12,Regular,Baking Goods,121.3098,OUT045,,Tier 2,Supermarket Type1,Male,86,Lawyer,2530.7058
DRE60,low fat,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,Female,19,Healthcare,679.116
DRK49,Low Fat,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,Male,25,Healthcare,812.276
FDD03,Low Fat,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,Male,59,Entertainment,699.09
FDS52,low fat,Frozen Foods,102.4016,OUT017,,Tier 2,Supermarket Type1,Female,39,Artist,2732.4432
FDW39,Regular,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,Female,50,Doctor,176.437
FDX34,Low Fat,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,Male,47,Artist,4097.3332
FDV11,Regular,Breads,173.2054,OUT045,,Tier 2,Supermarket Type1,Male,43,Executive,3151.8972
FDD17,Low Fat,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,Male,36,Executive,5942.265
FDZ16,Regular,Frozen Foods,192.4478,OUT017,,Tier 2,Supermarket Type1,Male,80,Lawyer,4843.695
FDZ46,Low Fat,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,Male,36,Artist,2542.0244
DRA12,Low Fat,Soft Drinks,140.3154,OUT017,,Tier 2,Supermarket Type1,Male,27,,2552.6772
FDY58,Low Fat,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,Female,37,Artist,1141.847
NCF19,Low Fat,Household,47.5034,OUT017,,Tier 2,Supermarket Type1,Male,46,Executive,680.4476
DRJ13,LF,Soft Drinks,159.0578,OUT045,,Tier 2,Supermarket Type1,Male,55,Executive,2085.9514
FDB14,Regular,Canned,92.512,OUT010,,Tier 3,Grocery Store,Female,47,Engineer,186.424
FDJ38,Regular,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,Female,28,Healthcare,3036.048
FDW11,Low Fat,Breads,62.7194,OUT017,,Tier 2,Supermarket Type1,Male,39,Entertainment,866.8716
FDL40,Low Fat,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,Female,27,Marketing,868.869
DRI49,Low Fat,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,Female,42,Engineer,1137.1864
FDV38,Low Fat,Dairy,52.7956,OUT017,,Tier 2,Supermarket Type1,Male,72,Artist,928.1252
DRG23,Low Fat,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,Female,28,Engineer,762.341
NCP30,Low Fat,Household,40.2822,OUT045,,Tier 2,Supermarket Type1,Male,35,Entertainment,707.0796
FDY25,Low Fat,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,Male,39,Executive,7968.2944
NCH54,Low Fat,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,Female,69,Lawyer,1438.128
NCR53,Low Fat,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Male,18,Healthcare,6976.2524
FDS52,Low Fat,Frozen Foods,101.7016,OUT010,,Tier 3,Grocery Store,Male,46,Artist,101.2016
FDG02,Low Fat,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Female,50,Engineer,952.094
NCO26,Low Fat,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,Male,30,Executive,1969.4364
FDH35,Low Fat,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,Female,41,Artist,5262.4832
FDB51,Low Fat,Dairy,60.5852,OUT045,,Tier 2,Supermarket Type1,Female,39,Artist,1314.2892
FDX44,Low Fat,Fruits and Vegetables,90.8172,OUT017,,Tier 2,Supermarket Type1,Female,29,Marketing,535.3032
NCN07,Low Fat,Others,132.1284,OUT010,,Tier 3,Grocery Store,Female,37,Artist,263.6568
NCC31,Low Fat,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,Female,39,Engineer,1402.1748
NCX54,Low Fat,Household,105.1622,OUT017,,Tier 2,Supermarket Type1,Female,48,Artist,1693.7952
NCO55,Low Fat,Others,105.5938,OUT045,,Tier 2,Supermarket Type1,Female,32,Doctor,2143.876
NCC30,Low Fat,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,Male,78,Lawyer,2676.516
FDI16,Regular,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,Female,43,Engineer,905.488
FDP16,Low Fat,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,Male,29,Marketing,7370.406
FDB11,Low Fat,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,Female,28,Engineer,6301.1312
NCB06,Low Fat,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,Male,80,Lawyer,1597.92
FDA45,Low Fat,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,Female,28,Healthcare,529.311
NCO26,Low Fat,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,Male,71,Artist,1969.4364
DRJ25,Low Fat,Soft Drinks,50.3692,OUT017,,Tier 2,Supermarket Type1,Male,67,Lawyer,1034.6532
FDR28,reg,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,Female,26,Engineer,1794.331
FDI04,Regular,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,Female,47,Engineer,2768.3964
DRK12,Low Fat,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,Female,43,Artist,898.83
FDX20,Low Fat,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,Female,27,Healthcare,3169.208
NCI18,Low Fat,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,Female,45,Marketing,3589.9936
FDB36,Regular,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,Male,76,Executive,262.3252
FDN13,Low Fat,Breakfast,99.8358,OUT017,,Tier 2,Supermarket Type1,Female,43,Artist,1910.1802
DRD24,Low Fat,Soft Drinks,140.9154,OUT017,,Tier 2,Supermarket Type1,Female,78,Lawyer,1701.7848
FDQ28,Regular,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,Male,35,Artist,2471.4496
FDM22,Regular,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,Female,49,Artist,1331.6
FDR07,Low Fat,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,Female,25,Healthcare,1808.9786
FDV25,Low Fat,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,Male,37,Executive,3315.684
DRF49,Low Fat,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,Female,32,Healthcare,2618.5914
FDW51,Regular,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,Male,60,Doctor,2769.728
DRL01,Regular,Soft Drinks,233.4958,OUT017,,Tier 2,Supermarket Type1,Female,45,Artist,5375.0034
FDP25,Low Fat,Canned,216.8824,OUT017,,Tier 2,Supermarket Type1,Female,49,Homemaker,2838.9712
FDL50,Regular,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,Male,32,Artist,1743.0644
NCB30,Low Fat,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,Female,40,Artist,5555.4352
FDW11,Low Fat,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,Male,59,Artist,619.194
NCM43,Low Fat,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,Male,48,Artist,2120.573
FDK44,Low Fat,Fruits and Vegetables,173.0738,OUT017,,Tier 2,Supermarket Type1,Male,82,Executive,3823.0236
FDM15,Regular,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,Female,70,Lawyer,1360.2294
FDS31,Regular,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,Male,31,Artist,3969.4996
FDI32,Low Fat,Fruits and Vegetables,115.1834,OUT010,,Tier 3,Grocery Store,Female,72,Lawyer,345.5502
FDR47,LF,Breads,196.5794,OUT010,,Tier 3,Grocery Store,Male,50,Artist,585.2382
FDB35,Regular,Starchy Foods,92.6804,OUT045,,Tier 2,Supermarket Type1,Female,23,Engineer,1010.6844
NCU05,Low Fat,Health and Hygiene,81.4618,OUT010,,Tier 3,Grocery Store,Female,20,Healthcare,161.1236
DRY23,Regular,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,Female,22,Healthcare,42.6112
FDO24,Low Fat,Baking Goods,157.4604,OUT045,,Tier 2,Supermarket Type1,Female,31,Engineer,3010.7476
FDQ28,Regular,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,Female,36,Artist,6024.1584
FDV39,Low Fat,Meat,198.1426,OUT045,,Tier 2,Supermarket Type1,Male,52,Entertainment,988.713
NCO17,Low Fat,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,Female,29,Artist,239.688
FDU50,Regular,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,Male,40,Artist,1374.2112
FDT12,Regular,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,Female,40,Artist,4739.8302
FDK58,Regular,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,Male,38,Artist,1012.016
FDO08,Regular,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,Female,85,Lawyer,657.8104
NCW29,Low Fat,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,Female,21,Doctor,778.986
FDE04,Regular,Frozen Foods,179.766,OUT045,,Tier 2,Supermarket Type1,Female,41,Engineer,2336.958
NCB19,Low Fat,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,Male,40,Artist,2233.0932
FDV15,Low Fat,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,Male,53,Artist,1661.8368
FDL58,Regular,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,Female,42,Artist,4745.8224
FDA08,Regular,Fruits and Vegetables,164.1526,OUT045,,Tier 2,Supermarket Type1,Male,42,Executive,3124.5994
FDT43,Low Fat,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,Male,48,Artist,467.3916
NCX06,Low Fat,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,Male,59,Artist,5070.7328
FDT20,Low Fat,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,Male,41,Executive,540.6296
FDB41,Regular,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,Female,31,Artist,992.7078
NCN55,Low Fat,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,Female,49,Artist,6008.845
FDE40,Regular,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,Male,67,Executive,2105.2596
FDX49,reg,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,Male,35,Artist,5359.69
NCM53,Low Fat,Health and Hygiene,104.628,OUT045,,Tier 2,Supermarket Type1,Female,26,Healthcare,745.696
FDE36,Regular,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,Male,19,Healthcare,3275.736
FDN57,Low Fat,Snack Foods,140.2154,OUT045,,Tier 2,Supermarket Type1,Female,25,Engineer,1701.7848
FDI24,Low Fat,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,Female,39,Healthcare,6704.606
FDI19,Low Fat,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,Male,63,Entertainment,4119.9704
FDF24,Regular,Baking Goods,81.5934,OUT010,,Tier 3,Grocery Store,Male,23,Healthcare,327.5736
FDG52,Low Fat,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,Female,23,Healthcare,780.9834
DRF36,LF,Soft Drinks,189.3846,OUT045,,Tier 2,Supermarket Type1,Female,53,Artist,3630.6074
FDS45,Regular,Snack Foods,107.3622,OUT019,Small,Tier 1,Grocery Store,Male,33,Doctor,317.5866
FDX40,Low Fat,Frozen Foods,39.7164,OUT010,,Tier 3,Grocery Store,Female,50,Engineer,231.6984
DRK12,LF,Soft Drinks,32.99,OUT035,Small,Tier 2,Supermarket Type1,Female,69,Engineer,133.16
DRC27,Low Fat,Dairy,245.1802,OUT035,Small,Tier 2,Supermarket Type1,Male,37,Artist,5650.6446
FDL58,Regular,Snack Foods,263.7568,OUT017,,Tier 2,Supermarket Type1,Female,20,Marketing,2636.568
NCD30,Low Fat,Household,96.0726,OUT045,,Tier 2,Supermarket Type1,Female,85,Lawyer,1272.3438
NCZ54,Low Fat,Household,161.5552,OUT010,,Tier 3,Grocery Store,Female,49,Doctor,324.9104
FDE10,Regular,Snack Foods,130.0626,OUT010,,Tier 3,Grocery Store,Male,18,Healthcare,131.1626
FDR44,Regular,Fruits and Vegetables,131.2968,OUT010,,Tier 3,Grocery Store,Female,52,Doctor,260.9936
FDP28,Regular,Frozen Foods,260.0936,OUT010,,Tier 3,Grocery Store,Male,25,Doctor,260.9936
FDX15,Low Fat,Meat,160.6578,OUT013,High,Tier 3,Supermarket Type1,Male,56,Executive,3690.5294
FDA39,LF,Meat,40.2822,OUT035,Small,Tier 2,Supermarket Type1,Male,62,,1139.1838
FDY24,Regular,Baking Goods,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,Female,35,Artist,1995.4026
FDC60,Regular,Baking Goods,88.3514,OUT017,,Tier 2,Supermarket Type1,Male,28,Engineer,1416.8224
FDH28,Regular,Frozen Foods,37.2506,OUT046,Small,Tier 1,Supermarket Type1,Female,28,Artist,265.6542
FDT25,Low Fat,Canned,121.7072,OUT017,,Tier 2,Supermarket Type1,Male,20,Healthcare,3552.7088
DRJ13,Low Fat,Soft Drinks,161.5578,OUT013,High,Tier 3,Supermarket Type1,Female,27,Homemaker,2406.867
NCO07,Low Fat,Others,211.956,OUT019,Small,Tier 1,Grocery Store,Female,56,Engineer,213.056
FDW20,Low Fat,Fruits and Vegetables,124.173,OUT013,High,Tier 3,Supermarket Type1,Male,45,Artist,2956.152
DRF27,Low Fat,Dairy,152.134,OUT019,Small,Tier 1,Grocery Store,Male,25,Healthcare,153.134
FDS49,Low Fat,Canned,79.7644,OUT035,Small,Tier 2,Supermarket Type1,Male,40,Marketing,1649.8524
FDX25,Low Fat,Canned,181.9292,OUT027,Medium,Tier 3,Supermarket Type3,Female,25,Healthcare,3101.2964
NCX42,Low Fat,Household,165.6526,OUT027,Medium,Tier 3,Supermarket Type3,Female,74,Lawyer,4769.1254
FDG33,Regular,Seafood,170.4764,OUT027,Medium,Tier 3,Supermarket Type3,Female,23,Healthcare,3435.528
FDL56,Low Fat,Fruits and Vegetables,86.4198,OUT045,,Tier 2,Supermarket Type1,Female,67,Lawyer,1133.8574
